ltlacd,ltlanm,ctycd,ctynm,mctycd,mctynm,cauthcd,cauthnm,rgncd,rgnnm,ctrycd,ctrynm
E09000029,Sutton,,,,,,,E12000007,London,E92000001,England
E09000030,Tower Hamlets,,,,,,,E12000007,London,E92000001,England
E09000031,Waltham Forest,,,,,,,E12000007,London,E92000001,England
E09000032,Wandsworth,,,,,,,E12000007,London,E92000001,England
E09000033,Westminster,,,,,,,E12000007,London,E92000001,England
N09000001,Antrim and Newtownabbey,,,,,,,N92000002,Northern Ireland,N92000002,Northern Ireland
N09000002,"Armagh City, Banbridge and Craigavon",,,,,,,N92000002,Northern Ireland,N92000002,Northern Ireland
N09000003,Belfast,,,,,,,N92000002,Northern Ireland,N92000002,Northern Ireland
N09000004,Causeway Coast and Glens,,,,,,,N92000002,Northern Ireland,N92000002,Northern Ireland
N09000005,Derry City and Strabane,,,,,,,N92000002,Northern Ireland,N92000002,Northern Ireland
N09000006,Fermanagh and Omagh,,,,,,,N92000002,Northern Ireland,N92000002,Northern Ireland
N09000007,Lisburn and Castlereagh,,,,,,,N92000002,Northern Ireland,N92000002,Northern Ireland
N09000008,Mid and East Antrim,,,,,,,N92000002,Northern Ireland,N92000002,Northern Ireland
N09000009,Mid Ulster,,,,,,,N92000002,Northern Ireland,N92000002,Northern Ireland
N09000010,"Newry, Mourne and Down",,,,,,,N92000002,Northern Ireland,N92000002,Northern Ireland
N09000011,Ards and North Down,,,,,,,N92000002,Northern Ireland,N92000002,Northern Ireland
S12000005,Clackmannanshire,,,,,,,S92000003,Scotland,S92000003,Scotland
S12000006,Dumfries and Galloway,,,,,,,S92000003,Scotland,S92000003,Scotland
S12000008,East Ayrshire,,,,,,,S92000003,Scotland,S92000003,Scotland
S12000010,East Lothian,,,,,,,S92000003,Scotland,S92000003,Scotland
S12000011,East Renfrewshire,,,,,,,S92000003,Scotland,S92000003,Scotland
S12000013,Na h-Eileanan Siar,,,,,,,S92000003,Scotland,S92000003,Scotland
S12000014,Falkirk,,,,,,,S92000003,Scotland,S92000003,Scotland
S12000015,Fife,,,,,,,S92000003,Scotland,S92000003,Scotland
S12000017,Highland,,,,,,,S92000003,Scotland,S92000003,Scotland
S12000018,Inverclyde,,,,,,,S92000003,Scotland,S92000003,Scotland
S12000019,Midlothian,,,,,,,S92000003,Scotland,S92000003,Scotland
S12000020,Moray,,,,,,,S92000003,Scotland,S92000003,Scotland
S12000021,North Ayrshire,,,,,,,S92000003,Scotland,S92000003,Scotland
S12000023,Orkney Islands,,,,,,,S92000003,Scotland,S92000003,Scotland
S12000024,Perth and Kinross,,,,,,,S92000003,Scotland,S92000003,Scotland
S12000026,Scottish Borders,,,,,,,S92000003,Scotland,S92000003,Scotland
S12000027,Shetland Islands,,,,,,,S92000003,Scotland,S92000003,Scotland
S12000028,South Ayrshire,,,,,,,S92000003,Scotland,S92000003,Scotland
S12000029,South Lanarkshire,,,,,,,S92000003,Scotland,S92000003,Scotland
S12000030,Stirling,,,,,,,S92000003,Scotland,S92000003,Scotland
S12000033,Aberdeen City,,,,,,,S92000003,Scotland,S92000003,Scotland
S12000034,Aberdeenshire,,,,,,,S92000003,Scotland,S92000003,Scotland
S12000035,Argyll and Bute,,,,,,,S92000003,Scotland,S92000003,Scotland
S12000036,City of Edinburgh,,,,,,,S92000003,Scotland,S92000003,Scotland
S12000038,Renfrewshire,,,,,,,S92000003,Scotland,S92000003,Scotland
S12000039,West Dunbartonshire,,,,,,,S92000003,Scotland,S92000003,Scotland
S12000040,West Lothian,,,,,,,S92000003,Scotland,S92000003,Scotland
S12000041,Angus,,,,,,,S92000003,Scotland,S92000003,Scotland
S12000042,Dundee City,,,,,,,S92000003,Scotland,S92000003,Scotland
S12000044,North Lanarkshire,,,,,,,S92000003,Scotland,S92000003,Scotland
S12000045,East Dunbartonshire,,,,,,,S92000003,Scotland,S92000003,Scotland
S12000046,Glasgow City,,,,,,,S92000003,Scotland,S92000003,Scotland
W06000001,Isle of Anglesey,,,,,,,W92000004,Wales,W92000004,Wales
W06000002,Gwynedd,,,,,,,W92000004,Wales,W92000004,Wales
W06000003,Conwy,,,,,,,W92000004,Wales,W92000004,Wales
W06000004,Denbighshire,,,,,,,W92000004,Wales,W92000004,Wales
W06000005,Flintshire,,,,,,,W92000004,Wales,W92000004,Wales
W06000006,Wrexham,,,,,,,W92000004,Wales,W92000004,Wales
W06000008,Ceredigion,,,,,,,W92000004,Wales,W92000004,Wales
W06000009,Pembrokeshire,,,,,,,W92000004,Wales,W92000004,Wales
W06000010,Carmarthenshire,,,,,,,W92000004,Wales,W92000004,Wales
W06000011,Swansea,,,,,,,W92000004,Wales,W92000004,Wales
W06000012,Neath Port Talbot,,,,,,,W92000004,Wales,W92000004,Wales
W06000013,Bridgend,,,,,,,W92000004,Wales,W92000004,Wales
W06000014,Vale of Glamorgan,,,,,,,W92000004,Wales,W92000004,Wales
W06000015,Cardiff,,,,,,,W92000004,Wales,W92000004,Wales
W06000016,Rhondda Cynon Taf,,,,,,,W92000004,Wales,W92000004,Wales
W06000018,Caerphilly,,,,,,,W92000004,Wales,W92000004,Wales
W06000019,Blaenau Gwent,,,,,,,W92000004,Wales,W92000004,Wales
W06000020,Torfaen,,,,,,,W92000004,Wales,W92000004,Wales
W06000021,Monmouthshire,,,,,,,W92000004,Wales,W92000004,Wales
W06000022,Newport,,,,,,,W92000004,Wales,W92000004,Wales
W06000023,Powys,,,,,,,W92000004,Wales,W92000004,Wales
W06000024,Merthyr Tydfil,,,,,,,W92000004,Wales,W92000004,Wales
