ltlacd,ltlanm,ctycd,ctynm,mctycd,mctynm,cauthcd,cauthnm,rgncd,rgnnm,ctrycd,ctrynm
E07000038,North East Derbyshire,E10000007,Derbyshire,,,,,E12000004,East Midlands,E92000001,England
E07000039,South Derbyshire,E10000007,Derbyshire,,,,,E12000004,East Midlands,E92000001,England
E07000040,East Devon,E10000008,Devon,,,,,E12000009,South West,E92000001,England
E07000041,Exeter,E10000008,Devon,,,,,E12000009,South West,E92000001,England
E07000042,Mid Devon,E10000008,Devon,,,,,E12000009,South West,E92000001,England
E07000043,North Devon,E10000008,Devon,,,,,E12000009,South West,E92000001,England
E07000044,South Hams,E10000008,Devon,,,,,E12000009,South West,E92000001,England
E07000045,Teignbridge,E10000008,Devon,,,,,E12000009,South West,E92000001,England
E07000046,Torridge,E10000008,Devon,,,,,E12000009,South West,E92000001,England
E07000047,West Devon,E10000008,Devon,,,,,E12000009,South West,E92000001,England
E07000048,Christchurch,E10000009,Dorset,,,,,E12000009,South West,E92000001,England
E07000049,East Dorset,E10000009,Dorset,,,,,E12000009,South West,E92000001,England
E07000050,North Dorset,E10000009,Dorset,,,,,E12000009,South West,E92000001,England
E07000051,Purbeck,E10000009,Dorset,,,,,E12000009,South West,E92000001,England
E07000052,West Dorset,E10000009,Dorset,,,,,E12000009,South West,E92000001,England
E07000053,Weymouth and Portland,E10000009,Dorset,,,,,E12000009,South West,E92000001,England
E07000061,Eastbourne,E10000011,East Sussex,,,,,E12000008,South East,E92000001,England
E07000062,Hastings,E10000011,East Sussex,,,,,E12000008,South East,E92000001,England
E07000063,Lewes,E10000011,East Sussex,,,,,E12000008,South East,E92000001,England
E07000064,Rother,E10000011,East Sussex,,,,,E12000008,South East,E92000001,England
E07000065,Wealden,E10000011,East Sussex,,,,,E12000008,South East,E92000001,England
E07000066,Basildon,E10000012,Essex,,,,,E12000006,East of England,E92000001,England
E07000067,Braintree,E10000012,Essex,,,,,E12000006,East of England,E92000001,England
E07000068,Brentwood,E10000012,Essex,,,,,E12000006,East of England,E92000001,England
E07000069,Castle Point,E10000012,Essex,,,,,E12000006,East of England,E92000001,England
E07000070,Chelmsford,E10000012,Essex,,,,,E12000006,East of England,E92000001,England
E07000071,Colchester,E10000012,Essex,,,,,E12000006,East of England,E92000001,England
E07000072,Epping Forest,E10000012,Essex,,,,,E12000006,East of England,E92000001,England
E07000073,Harlow,E10000012,Essex,,,,,E12000006,East of England,E92000001,England
E07000074,Maldon,E10000012,Essex,,,,,E12000006,East of England,E92000001,England
E07000075,Rochford,E10000012,Essex,,,,,E12000006,East of England,E92000001,England
E07000076,Tendring,E10000012,Essex,,,,,E12000006,East of England,E92000001,England
E07000077,Uttlesford,E10000012,Essex,,,,,E12000006,East of England,E92000001,England
E07000078,Cheltenham,E10000013,Gloucestershire,,,,,E12000009,South West,E92000001,England
E07000079,Cotswold,E10000013,Gloucestershire,,,,,E12000009,South West,E92000001,England
E07000080,Forest of Dean,E10000013,Gloucestershire,,,,,E12000009,South West,E92000001,England
E07000081,Gloucester,E10000013,Gloucestershire,,,,,E12000009,South West,E92000001,England
E07000082,Stroud,E10000013,Gloucestershire,,,,,E12000009,South West,E92000001,England
E07000083,Tewkesbury,E10000013,Gloucestershire,,,,,E12000009,South West,E92000001,England
E07000084,Basingstoke and Deane,E10000014,Hampshire,,,,,E12000008,South East,E92000001,England
E07000085,East Hampshire,E10000014,Hampshire,,,,,E12000008,South East,E92000001,England
E07000086,Eastleigh,E10000014,Hampshire,,,,,E12000008,South East,E92000001,England
E07000087,Fareham,E10000014,Hampshire,,,,,E12000008,South East,E92000001,England
E07000088,Gosport,E10000014,Hampshire,,,,,E12000008,South East,E92000001,England
E07000089,Hart,E10000014,Hampshire,,,,,E12000008,South East,E92000001,England
